Interview Id,Interview Name,Interview Owner Id,Client Id,Candidate Id,Job Opening Id,Application ID,From,To,Interview Type,Interview Status,Batch Name,Cancellation Reason,Feedback,Created Time
Zrecruit_159941000008075740,Telephonic Interview,Dania Assadi,Zrecruit_159941000000623843,159941000007291071,Zrecruit_159941000008027351,Zrecruit_159941000008041202,13/02/2026 05:00 PM,13/02/2026 06:00 PM,In-person Interview,Cancelled,ACDM & PCDMS August 2025 Batch 2 - 508,Job opening closed,,13/02/2026 04:24 PM
Zrecruit_159941000008075644,Telephonic Interview,Dania Assadi,Zrecruit_159941000000623843,159941000007729331,Zrecruit_159941000008027351,Zrecruit_159941000008041200,13/02/2026 05:00 PM,13/02/2026 06:00 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,13/02/2026 04:22 PM
Zrecruit_159941000008075621,Telephonic Interview,Dania Assadi,Zrecruit_159941000000623843,159941000007566275,Zrecruit_159941000008027351,Zrecruit_159941000008041201,13/02/2026 05:00 PM,13/02/2026 06:00 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,13/02/2026 04:22 PM
Zrecruit_159941000008075598,Telephonic Interview,Dania Assadi,Zrecruit_159941000000623843,159941000007390550,Zrecruit_159941000008027351,Zrecruit_159941000008041196,13/02/2026 02:30 PM,13/02/2026 03:00 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,13/02/2026 04:21 PM
Zrecruit_159941000008064973,HR Round (Offline),Raj Pithadia,Zrecruit_159941000000612642,159941000007291071,Zrecruit_159941000006186703,Zrecruit_159941000007706455,12/02/2026 4:00 PM,12/02/2026 4:30 PM,In-person Interview,Cancelled,ACDM & PCDMS August 2025 Batch 2 - 508,Job opening closed,,11/02/2026 6:33 PM
Zrecruit_159941000008037323,Telephonic Interview,Aanchal Sharma,Zrecruit_159941000007559774,159941000007258288,Zrecruit_159941000007559780,Zrecruit_159941000007569373,10/02/2026 12:00 PM,10/02/2026 1:00 PM,Adhoc Interview,Move to Next Round/Process,ACDM & PCDMS August 2025 Batch 1 - 506,,next round,10/02/2026 5:45 PM
Zrecruit_159941000008037295,Telephonic Interview,Aanchal Sharma,Zrecruit_159941000007559774,159941000007258288,Zrecruit_159941000007559780,Zrecruit_159941000007569373,10/02/2026 12:00 PM,10/02/2026 1:00 PM,Adhoc Interview,Move to Next Round/Process,ACDM & PCDMS August 2025 Batch 1 - 506,,next round,10/02/2026 5:45 PM
Zrecruit_159941000007989955,Telephonic Interview,Raj Pithadia,Zrecruit_159941000000612642,159941000007291071,Zrecruit_159941000006186703,Zrecruit_159941000007706455,06/02/2026 6:00 PM,06/02/2026 7:00 PM,Adhoc Interview,Rescheduled,ACDM & PCDMS August 2025 Batch 2 - 508,,Not answered,06/02/2026 6:38 PM
Zrecruit_159941000007989933,Telephonic Interview,Raj Pithadia,Zrecruit_159941000000612642,159941000007291071,Zrecruit_159941000006186703,Zrecruit_159941000007706455,06/02/2026 6:00 PM,06/02/2026 7:00 PM,Adhoc Interview,Rescheduled,ACDM & PCDMS August 2025 Batch 2 - 508,,Not answered,06/02/2026 6:37 PM
Zrecruit_159941000007575157,Online Interview,Gemini Patel,Zrecruit_159941000000606348,159941000007566275,Zrecruit_159941000007442611,Zrecruit_159941000007570623,04/02/2026 3:30 PM,04/02/2026 4:00 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,03/02/2026 7:10 PM
Zrecruit_159941000007466211,Telephonic Interview,Gemini Patel,Zrecruit_159941000007194048,159941000007258288,Zrecruit_159941000007211415,Zrecruit_159941000007255335,20/01/2026 11:00 AM,20/01/2026 11:30 AM,Adhoc Interview,On-Hold,ACDM & PCDMS August 2025 Batch 1 - 506,,awaiting feedback from HR.,27/01/2026 11:43 AM
Zrecruit_159941000007421243,HR Round (Offline),Dania Assadi,Zrecruit_159941000005070759,159941000007291071,Zrecruit_159941000007381260,Zrecruit_159941000007394325,23/01/2026 01:30 PM,23/01/2026 02:00 PM,In-person Interview,Cancelled,ACDM & PCDMS August 2025 Batch 2 - 508,Job opening closed,,22/01/2026 06:51 PM
